Set,TestID,Time,BestFound,BestKnown,Deviation(%)
B,1,39.74,693.83,672,3.25
B,2,44.55,840.74,788,6.69
B,3,45.34,1018.8,955,6.68
B,4,49.53,809.68,805,0.58
B,5,49.54,576.33,549,4.98
B,6,52.92,857.68,829,3.46
B,7,55.41,797.72,742,7.51
B,8,59.28,935.51,909,2.92
B,9,59.06,794.1,751,5.74
B,10,58.7,769.7,678,13.52
B,11,65.58,766.62,741,3.46
B,12,67.16,1354.53,1312,3.24
B,13,67.46,1071.91,1032,3.87
B,14,67.75,859.11,747,15.01
B,15,71.35,793.62,707,12.25
B,16,73.97,1294.11,1153,12.24
B,17,76.46,1731.48,1598,8.35
B,18,83.22,1684.78,1496,12.62
B,19,71.57,832.79,707,17.79
B,20,84.0,925.77,861,7.52
B,21,75.56,1442.49,1316,9.61
B,22,76.43,1537.02,1272,20.83
B,23,89.86,1392.15,1221,14.02
E,1,28.05,451.34,450,0.3
E,2,31.03,388.21,375,3.52
E,3,32.41,570.56,569,0.27
E,4,39.13,542.01,534,1.5
E,5,43.55,870.92,835,4.3
E,6,60.09,598.11,521,14.8
E,7,91.27,861.3,682,26.29
E,8,92.01,815.13,735,10.9
E,9,95.1,1024.1,830,23.39
E,10,98.93,1162.69,1021,13.88
E,11,119.05,1017.62,817,24.56
E,12,125.92,1317.25,1071,22.99
P,1,26.94,451.34,450,0.3
P,2,22.2,212.66,212,0.31
P,3,23.31,219.13,216,1.45
P,4,24.34,212.71,211,0.81
P,5,25.31,217.85,216,0.86
P,6,36.38,588.79,603,2.36
P,7,34.79,531.17,529,0.41
P,8,49.34,488.39,458,6.63
P,9,55.08,524.48,510,2.84
P,10,63.11,639.5,554,15.43
P,11,66.61,689.29,631,9.24
P,12,68.29,773.44,696,11.13
P,13,70.54,824.65,741,11.29
P,14,70.9,649.69,568,14.38
P,15,73.6,735.18,694,5.93
P,16,80.17,991.88,989,0.29
P,17,80.43,847.47,744,13.91
P,18,82.81,1004.23,968,3.74
P,19,82.13,899.3,792,13.55
P,20,86.61,895.8,827,8.32
P,21,83.34,720.07,593,21.43
P,22,83.64,824.7,627,31.53
P,23,117.34,935.58,681,37.38
